Date,Open,High,Low,Close,Adj Close,Volume
2011-06-13,9.340500,9.465500,9.243000,9.314500,9.314500,77378000
2011-06-14,9.449500,9.536000,9.353500,9.498000,9.498000,79206000
2011-06-15,9.402000,9.622500,9.265000,9.299000,9.299000,126354000
2011-06-16,9.287000,9.350000,9.079500,9.182500,9.182500,120642000
2011-06-17,9.325500,9.369500,9.232000,9.318500,9.318500,126444000
2011-06-20,9.298000,9.442500,9.278500,9.386000,9.386000,56634000
2011-06-21,9.415000,9.750000,9.356000,9.711500,9.711500,83652000
2011-06-22,9.698000,9.760000,9.566000,9.581500,9.581500,62594000
2011-06-23,9.475000,9.723000,9.415000,9.708000,9.708000,92192000
2011-06-24,9.694000,9.746000,9.567500,9.627500,9.627500,72290000
2011-06-27,9.725000,10.129000,9.701500,10.062500,10.062500,122014000
2011-06-28,10.096000,10.144000,10.030000,10.117500,10.117500,76506000
2011-06-29,10.133500,10.312500,10.051500,10.209000,10.209000,92178000
2011-06-30,10.039000,10.260000,10.025000,10.224500,10.224500,88962000
2011-07-01,10.277500,10.513500,10.180500,10.474500,10.474500,80174000
2011-07-05,10.438000,10.722500,10.436500,10.659500,10.659500,71704000
2011-07-06,10.606000,10.720000,10.550500,10.709500,10.709500,52152000
2011-07-07,10.754500,10.890000,10.754500,10.837000,10.837000,62898000
2011-07-08,10.715000,10.916000,10.662500,10.914000,10.914000,74158000
2011-07-11,10.837000,10.875000,10.550000,10.627500,10.627500,80674000
2011-07-12,10.732000,10.782500,10.556000,10.561500,10.561500,79714000
2011-07-13,10.735000,10.841500,10.607000,10.675000,10.675000,84598000
2011-07-14,10.679000,10.795500,10.469000,10.519000,10.519000,78050000
2011-07-15,10.654000,10.726500,10.464500,10.643500,10.643500,81452000
2011-07-18,10.626500,10.669500,10.414500,10.576500,10.576500,57962000
2011-07-19,10.688500,10.920000,10.688500,10.903000,10.903000,88744000
2011-07-20,11.002500,11.010000,10.720500,10.777500,10.777500,67458000
2011-07-21,10.837000,10.854500,10.553500,10.660500,10.660500,90906000
2011-07-22,10.693000,10.897500,10.555500,10.826000,10.826000,71834000
2011-07-25,10.774500,10.804000,10.650000,10.674500,10.674500,66856000
2011-07-26,10.749500,10.780000,10.517500,10.709000,10.709000,197272000
2011-07-27,11.219500,11.360000,10.981000,11.126000,11.126000,259112000
2011-07-28,11.163500,11.297500,11.011500,11.195000,11.195000,107098000
2011-07-29,11.064500,11.287500,10.975500,11.126000,11.126000,103354000
2011-08-01,11.250000,11.372500,10.883000,11.066000,11.066000,115786000
2011-08-02,11.016000,11.121500,10.565000,10.585000,10.585000,131734000
2011-08-03,10.648500,10.741500,10.277000,10.498000,10.498000,163942000
2011-08-04,10.336500,10.400000,10.072500,10.074000,10.074000,131590000
2011-08-05,10.233500,10.366000,9.742000,10.135000,10.135000,200480000
2011-08-08,9.820000,10.019500,9.502500,9.685000,9.685000,208550000
2011-08-09,9.835000,10.254500,9.523000,10.254500,10.254500,209824000
2011-08-10,10.038000,10.120000,9.680000,9.706500,9.706500,175152000
2011-08-11,9.850500,10.042500,9.568000,9.918000,9.918000,148038000
2011-08-12,10.014000,10.228000,9.860500,10.115000,10.115000,112408000
2011-08-15,10.103000,10.264000,9.916000,10.147500,10.147500,95718000
2011-08-16,10.057000,10.069500,9.737500,9.884000,9.884000,104118000
2011-08-17,9.926500,9.980000,9.687000,9.796500,9.796500,79822000
2011-08-18,9.560500,9.567000,8.986000,9.126000,9.126000,165504000
2011-08-19,9.014500,9.500000,8.877500,8.946500,8.946500,144884000
2011-08-22,9.141500,9.210000,8.855000,8.877000,8.877000,106274000
2011-08-23,8.946000,9.742000,8.926000,9.677500,9.677500,147032000
2011-08-24,9.694500,9.815500,9.508500,9.686500,9.686500,124974000
2011-08-25,9.720500,9.849500,9.553500,9.601500,9.601500,75216000
2011-08-26,9.562000,9.986000,9.480000,9.963500,9.963500,106214000
2011-08-29,10.141000,10.333500,10.127500,10.326500,10.326500,90220000
2011-08-30,10.289000,10.624500,10.216000,10.546000,10.546000,118314000
2011-08-31,10.613500,10.808500,10.567500,10.761500,10.761500,148100000
2011-09-01,10.764000,10.882000,10.581000,10.627000,10.627000,105506000
2011-09-02,10.447000,10.534500,10.350000,10.500000,10.500000,84640000
2011-09-06,10.238500,10.830000,10.223500,10.809000,10.809000,124324000
2011-09-07,10.940000,11.009500,10.711000,10.995000,10.995000,105916000
2011-09-08,10.915000,11.032000,10.817000,10.863000,10.863000,87958000
2011-09-09,10.752500,10.848000,10.487500,10.569500,10.569500,91486000
2011-09-12,10.437500,10.833000,10.432500,10.828000,10.828000,106842000
2011-09-13,10.889500,10.997500,10.750500,10.976500,10.976500,96718000
2011-09-14,11.011000,11.249500,10.836000,11.128500,11.128500,117634000
2011-09-15,11.199500,11.360000,11.062500,11.339000,11.339000,112176000
2011-09-16,11.378500,12.022000,11.337000,11.965000,11.965000,235060000
2011-09-19,11.855500,12.200000,11.644000,12.084500,12.084500,164466000
2011-09-20,12.040000,12.052500,11.551500,11.662500,11.662500,147710000
2011-09-21,11.725500,12.026000,11.590500,11.593500,11.593500,117630000
2011-09-22,11.236000,11.439500,10.950000,11.161500,11.161500,165092000
2011-09-23,11.025500,11.224500,10.953000,11.180500,11.180500,129362000
2011-09-26,11.374000,11.512000,11.070000,11.492500,11.492500,115882000
2011-09-27,11.711000,11.737500,11.120000,11.210500,11.210500,156750000
2011-09-28,11.317500,11.790500,11.280000,11.485500,11.485500,288738000
2011-09-29,11.708500,11.715000,10.814500,11.122000,11.122000,187570000
2011-09-30,10.909500,11.150000,10.760500,10.811500,10.811500,131006000
2011-10-03,10.850500,11.080000,10.569500,10.599000,10.599000,132488000
2011-10-04,10.481000,10.750000,10.021500,10.625000,10.625000,174232000
2011-10-05,10.626500,11.008500,10.424000,10.975000,10.975000,130164000
2011-10-06,11.014000,11.181000,10.877500,11.075500,11.075500,136986000
2011-10-07,11.124000,11.395000,10.920500,11.237000,11.237000,135686000
2011-10-10,11.311500,11.640000,11.205000,11.566000,11.566000,102862000
2011-10-11,11.530000,11.837500,11.450000,11.774000,11.774000,100074000
2011-10-12,11.832000,12.092000,11.716500,11.840500,11.840500,130216000
2011-10-13,11.850000,11.984000,11.761500,11.807500,11.807500,96670000
2011-10-14,12.043500,12.335500,12.009000,12.335500,12.335500,118474000
